"id","created_at","name","has_test","alternate_url"
"126635251","2025-10-17T08:15:43+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/126635251"
"117558942","2025-10-19T12:25:06+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/117558942"
"126775353","2025-10-21T12:41:38+0300","Бизнес аналитик (Лаборатория ИИ)",true,"https://hh.ru/vacancy/126775353"
"126813281","2025-10-22T11:06:54+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/126813281"
"127063385","2025-10-28T14:15:12+0300","Junior Data Scientist (Python, ML) / Дата-сайентист",false,"https://hh.ru/vacancy/127063385"
"127202494","2025-11-01T09:09:01+0300","ML-аналитик / Data Scientist",false,"https://hh.ru/vacancy/127202494"
"127433012","2025-11-09T18:18:25+0300","Кальянщик-программист",false,"https://hh.ru/vacancy/127433012"
"127436082","2025-11-10T06:13:51+0300","Системный аналитик",false,"https://hh.ru/vacancy/127436082"
"127446104","2025-11-10T09:34:25+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/127446104"
"127458648","2025-11-10T10:54:12+0300","Разработчик машинного обучения",true,"https://hh.ru/vacancy/127458648"
"127459530","2025-11-10T10:59:27+0300","ML-инженер / Data Scientist",false,"https://hh.ru/vacancy/127459530"
"127522824","2025-11-11T12:18:27+0300","Data Scientist",false,"https://hh.ru/vacancy/127522824"
"127527754","2025-11-11T13:28:02+0300","Data Scientist",false,"https://hh.ru/vacancy/127527754"
"127528191","2025-11-11T13:30:57+0300","Data Scientist Middle+",false,"https://hh.ru/vacancy/127528191"
"127592634","2025-11-12T13:46:19+0300","Аналитик данных / Data-аналитик / Data Scientist / Продуктовый аналитик (Python)",false,"https://hh.ru/vacancy/127592634"
"127634893","2025-11-13T14:03:15+0300","Junior ML Engineer",false,"https://hh.ru/vacancy/127634893"
"127669077","2025-11-13T18:08:28+0300","Data Scientist",false,"https://hh.ru/vacancy/127669077"
"127706118","2025-11-14T11:51:39+0300","Junior Data Scientist, Speech, Machine Learning",false,"https://hh.ru/vacancy/127706118"
"127361410","2025-11-15T12:18:52+0300","Data Scientist",false,"https://hh.ru/vacancy/127361410"
"127432787","2025-11-15T17:01:14+0300","Data Scientist",false,"https://hh.ru/vacancy/127432787"
